,Player,tm,pos,yr2019_20,predicted_salary,Age,PER,pts,g,mp,ast,stl,blk
526,Bruce Brown,DET,SG,"$1,416,852.00","$6,053,202.14",23.0,11.9,517.0,58.0,1634.0,230.0,63.0,29.0
525,Sviatoslav Mykhailiuk,DET,SF,"$1,416,852.00","$1,878,761.43",22.0,11.2,504.0,56.0,1265.0,106.0,41.0,4.0
418,Ben McLemore,HOU,SG,"$2,028,594.00","$3,942,631.78",26.0,11.8,715.0,71.0,1619.0,58.0,45.0,16.0
432,Josh Hart,NOP,SF,"$1,934,160.00","$4,994,754.98",24.0,11.9,656.0,65.0,1755.0,108.0,63.0,23.0
503,Brad Wanamaker,BOS,PG,"$1,445,697.00","$5,608,773.61",30.0,12.8,487.0,71.0,1369.0,179.0,61.0,14.0
284,Shai Gilgeous-Alexander,OKC,SG,"$3,952,920.00","$13,008,556.34",21.0,17.7,1331.0,70.0,2428.0,232.0,79.0,47.0
308,Bam Adebayo,MIA,PF,"$3,454,080.00","$15,597,181.70",22.0,20.3,1146.0,72.0,2417.0,368.0,82.0,93.0
341,John Collins,ATL,PF,"$2,686,560.00","$15,378,237.75",22.0,23.5,885.0,41.0,1363.0,60.0,31.0,66.0
531,Jalen Brunson,DAL,PG,"$1,416,582.00","$2,909,521.07",23.0,14.9,466.0,57.0,1022.0,188.0,22.0,4.0
373,Jarrett Allen,BRK,C,"$2,376,840.00","$7,869,289.32",21.0,20.7,775.0,70.0,1852.0,110.0,40.0,92.0
